,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.blue,p.MM.blue,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.brown,p.MM.brown,MM.yellow,p.MM.yellow,MM.grey,p.MM.grey
1191,ENSGALG00010005416,PPP3CA,black,-0.262035215,0.227108318,0.422646293,0.044517403,-0.002669731,0.990354178,-0.686624406,0.000296559,0.003389257,0.98775468,0.215528196,0.323315904,0.781811962,1.05E-05,0.047831729,0.828423386,-0.564928542,0.004974251,-0.053454297,0.8085985
1533,ENSGALG00010006926,ID4,black,-0.387211451,0.067939997,0.65730075,0.000654642,0.355720953,0.095744892,-0.324753088,0.130551347,0.309490977,0.15070171,0.2223328,0.307897698,0.781862578,1.05E-05,0.256588552,0.237266522,-0.375831389,0.077167976,0.424105845,0.043709944
7900,ENSGALG00010028172,CERS1,black,-0.028350087,0.897828115,0.346427839,0.105369752,0.369595015,0.082610212,-0.145999918,0.506229638,0.001574642,0.994310687,0.462239483,0.02637129,0.781984695,1.05E-05,0.567925662,0.00469987,-0.30514684,0.156817911,0.468877428,0.024015868
6148,ENSGALG00010022516,TRUB1,black,-0.334552819,0.118680098,0.471791534,0.02303667,0.006200751,0.977598718,-0.598159191,0.002571239,-0.020745159,0.925147444,0.218117363,0.31739523,0.782273923,1.03E-05,0.145898606,0.506527977,-0.549804091,0.006571804,0.016864371,0.939121967
8400,ENSGALG00010029734,SEC14L1,black,0.132832844,0.545706992,0.034793799,0.87476654,0.015319223,0.944691032,-0.4129152,0.050202711,-0.127324221,0.562631241,0.190988423,0.382693167,0.783228467,9.91E-06,0.240554069,0.268875348,-0.701179907,0.000193498,0.100455058,0.648349856
2932,ENSGALG00010012059,ARHGDIB,black,-0.3140948,0.144405795,0.50656006,0.013639411,0.224245914,0.303645511,-0.552694913,0.006237261,-0.059524618,0.787322283,0.452996685,0.029954977,0.783451121,9.82E-06,0.491847711,0.017134667,-0.326548188,0.128315435,0.118375223,0.590614212
5407,ENSGALG00010020525,GPD1L2,black,0.059306547,0.788084168,0.125645759,0.567834221,-0.107610071,0.625037752,-0.547809605,0.006811214,-0.119895245,0.585819605,0.058825773,0.789764529,0.783608827,9.75E-06,0.092691381,0.674010767,-0.71725957,0.000117203,0.004847209,0.98248779
5185,ENSGALG00010019648,PRDM16,black,-0.153454517,0.484515219,0.450769586,0.030873889,0.411884787,0.050836244,-0.208502849,0.339713918,0.168328393,0.442630509,0.459696324,0.027321217,0.7836983,9.71E-06,0.444319104,0.033662322,-0.347582865,0.104136295,0.471341169,0.023185868
2496,ENSGALG00010010689,,black,0.079608504,0.718045757,0.261047095,0.228929506,0.239731112,0.270566544,-0.141418371,0.519806188,0.22682847,0.297963028,0.214894288,0.324775563,0.784422756,9.41E-06,0.445637591,0.033076742,-0.437916266,0.036623719,0.401329911,0.057688541
4527,ENSGALG00010017586,ZFYVE28,black,0.049842676,0.8213206,0.149901669,0.494805506,-0.039035794,0.859637217,-0.41458466,0.049189295,-0.06500121,0.768252017,0.323193015,0.132517137,0.784456518,9.39E-06,0.054984261,0.803223044,-0.594611251,0.002768213,0.167522877,0.444848397
3663,ENSGALG00010014474,PTPN1,black,-0.417273627,0.047590504,0.667974211,0.000495589,0.39711562,0.060614884,-0.259021104,0.232693616,0.13566418,0.537100326,0.546144172,0.007016641,0.784522326,9.37E-06,0.582981533,0.003505626,-0.263293074,0.224803858,0.369180698,0.082981711
2492,ENSGALG00010010678,KCNIP1,black,-0.456719208,0.02846775,0.699478051,0.000203661,0.540848012,0.007704424,-0.370233259,0.082040372,0.290666869,0.178458272,0.397397382,0.06041575,0.78489554,9.21E-06,0.547971385,0.006791528,-0.277854482,0.199251336,0.431061923,0.040017779
682,ENSGALG00010003218,MAP3K7,black,-0.186478009,0.394239714,0.405220659,0.055084549,0.220828109,0.311267614,-0.392307889,0.064090929,0.043998533,0.841998093,0.450468061,0.031000003,0.78567371,8.90E-06,0.417813867,0.047274228,-0.500190613,0.015073187,0.199818907,0.360651881
7544,ENSGALG00010027234,SLC6A11,black,0.004328587,0.984361255,0.208387693,0.339986749,0.069541226,0.752540468,-0.328637003,0.125748543,-0.033942107,0.877809442,0.191907747,0.380363529,0.785850983,8.83E-06,0.090025181,0.682906716,-0.521822674,0.01065263,0.329068071,0.12522346
