"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.POA","GSF2960.NOF10.POA","GSF2960.NOF11.POA","GSF2960.NOF12.POA","GSF2960.NOF2.POA","GSF2960.NOF3.POA","GSF2960.NOF4.POA","GSF2960.NOF5.POA","GSF2960.NOF6.POA","GSF2960.NOF7.POA","GSF2960.NOF8.POA","GSF2960.NOF9.POA","GSF2960.NOM1.POA","GSF2960.NOM10.POA","GSF2960.NOM11.POA","GSF2960.NOM12.POA","GSF2960.NOM2.POA","GSF2960.NOM3.POA","GSF2960.NOM4.POA","GSF2960.NOM5.POA","GSF2960.NOM6.POA","GSF2960.NOM7.POA","GSF2960.NOM8.POA","GSF2960.NOM9.POA"
"439","ENSGALG00010013953",585.421955706933,-0.542314790836144,0.0763583284930694,-7.10223496950129,1.22755287440413e-12,5.49235484151661e-11,502,381,516,494,508,394,422,541,497,572,563,533,653,747,622,647,720,705,515,648,848,561,710,797
"440","ENSGALG00010013967",291.428802813543,-0.633205752150467,0.0852112270750062,-7.43101318788773,1.07768965472014e-13,5.15916203841949e-12,294,176,260,260,214,156,199,247,237,246,249,221,423,376,415,313,449,438,246,388,344,296,290,314
"441","ENSGALG00010014014",387.169796175532,-0.724490016027669,0.0910873802767653,-7.95379133559814,1.80888695961587e-15,9.39409910768368e-14,340,260,354,337,280,263,239,270,278,371,311,320,447,550,527,335,526,549,347,559,594,370,344,609
"442","ENSGALG00010014020",1743.47512845245,-0.194159743855876,0.0612287923697903,-3.17105296938165,0.00151887444368047,0.0304803769098225,1729,1439,1929,1712,1961,1266,1475,1647,1868,1984,2064,2028,1660,1650,1867,1340,2243,1772,1213,2253,1815,1538,1809,2061
"443","ENSGALG00010014035",2058.66589901722,-0.551603382729759,0.110924970966783,-4.97276111881913,6.60059760246053e-07,2.12700143793416e-05,2279,1200,1775,1897,1342,1151,1528,1374,2406,1364,2067,1805,2805,2892,2640,2414,2763,3008,1622,2975,2334,1962,1861,2463
"444","ENSGALG00010014041",1354.2581314064,-1.02544498785025,0.0489034345698212,-20.9687723749992,1.26485737059291e-97,7.35704289605367e-94,1078,755,856,926,907,733,750,872,1058,952,999,1115,1973,1842,1934,1591,2121,1939,1357,1859,1937,1543,1497,2008
"445","ENSGALG00010014062",1236.4296039352,0.237402783916121,0.066192462841549,3.58655311684676,0.000335077835264882,0.00822354526927504,1384,1082,1429,1559,1505,1063,1151,1318,1322,1391,1567,1229,1184,1214,1363,978,1092,1562,755,1247,1171,1163,980,1306
"446","ENSGALG00010014083",69.5315345070899,-0.998055305909624,0.119459619264515,-8.35475043411669,6.55711942396145e-17,3.66725818552613e-15,50,40,46,55,36,42,38,57,46,43,56,56,97,98,110,92,103,93,77,101,92,76,68,96
"447","ENSGALG00010014122",1371.73337258742,-0.794630370038359,0.134365050304167,-5.91396623035175,3.33966384662706e-09,1.24920609414188e-07,1724,693,1069,1391,1052,736,734,924,1265,1153,997,1258,2099,1336,1535,1575,1870,1602,1923,1639,2011,1304,1525,1580
"448","ENSGALG00010014125",1296.44654777363,-0.946167349824714,0.0875308486519664,-10.8095301758903,3.10254958015173e-27,2.67347846414111e-25,1160,678,919,933,936,779,646,786,1067,1019,919,1226,1636,1710,2102,1516,2212,1897,1276,1642,1811,1202,1524,1715
